income,loan_amount,payment_delays,employment_length,age,default
20374.31,13513.63,0.0,2.2,62,0
72239.59,16610.72,1.0,2.0,35,0
66063.76,32030.8,9.0,5.4,62,0
86270.31,27550.68,3.0,3.4,52,1
10000.0,17205.28,,4.6,20,1
81925.12,29808.72,6.0,5.5,51,1
125163.47,27156.47,0.0,5.0,24,0
36450.77,25365.74,,4.2,26,0
106854.46,44908.27,,6.2,63,0
42105.16,16215.01,7.0,0.2,24,0
10000.0,13869.34,2.0,4.6,45,0
40831.03,30303.06,5.0,7.1,59,0
81446.12,23961.7,0.0,0.0,66,0
24854.71,18891.99,9.0,6.4,65,1
31989.84,25750.16,7.0,2.7,68,1
67806.18,38129.06,1.0,6.8,32,0
50091.8,26636.97,3.0,3.7,50,0
67538.69,20925.75,3.0,2.2,23,0
57134.89,29186.36,4.0,1.4,40,1
64388.76,23366.05,,0.9,18,0
37030.96,21426.14,,2.5,50,1
56951.93,15447.68,2.0,2.9,52,0
22178.81,10682.58,3.0,6.2,41,0
88653.01,38476.17,3.0,4.6,56,0
30971.76,23585.6,1.0,6.1,46,0
83865.42,28038.74,9.0,,25,0
42991.79,15160.51,1.0,2.4,59,0
56059.97,38499.13,5.0,0.2,23,1
35151.06,27069.68,4.0,8.0,54,0
19520.14,40307.34,8.0,1.1,61,1
10000.0,8859.07,2.0,6.7,36,0
18340.28,4934.04,,6.3,41,0
40282.73,26744.51,,3.7,35,0
56356.38,24952.51,5.0,9.5,19,0
80311.38,29094.11,3.0,2.8,59,0
36627.28,11436.41,2.0,12.2,53,0
23541.18,19968.59,2.0,4.6,45,0
10000.0,11000.32,8.0,4.7,31,0
64401.91,18210.31,3.0,1.4,20,0
91495.84,27331.86,0.0,0.0,60,0
87989.91,18597.98,5.0,11.1,24,0
71297.98,38720.27,2.0,6.2,23,0
69156.3,27896.99,1.0,10.3,39,0
100928.71,33913.07,2.0,0.0,36,0
59962.44,39807.59,4.0,4.4,47,0
69383.89,23169.09,0.0,1.3,55,0
40376.48,12146.93,4.0,2.1,31,0
10000.0,22525.32,1.0,5.6,51,0
29484.53,9764.71,1.0,4.1,55,0
49725.23,10945.05,4.0,5.6,54,0
51823.56,31305.29,3.0,2.7,47,0
,38658.2,3.0,3.7,38,0
52438.32,21575.76,0.0,7.1,38,0
85365.3,19511.43,6.0,7.5,47,0
36947.68,27646.46,6.0,7.2,69,0
40649.72,18304.93,,4.0,25,0
10129.77,24578.1,1.0,6.8,52,0
27730.16,26022.35,3.0,8.4,28,0
65809.44,19992.8,6.0,3.9,23,1
50226.81,11986.52,2.0,,63,0
78288.16,34810.1,0.0,8.2,55,0
55437.62,29652.77,1.0,1.7,57,0
39426.39,26109.17,,2.3,44,1
,37694.22,6.0,,50,0
47182.89,34078.37,6.0,2.3,64,1
84890.03,63788.84,9.0,3.7,52,0
37963.72,39483.58,8.0,5.7,69,1
71287.98,31851.83,8.0,1.8,37,1
77840.47,38294.16,3.0,2.7,46,1
56254.76,23905.61,4.0,2.3,26,0
10000.0,3000.0,8.0,7.6,33,0
50547.57,40454.53,,0.7,66,1
86913.8,25454.19,,0.0,49,1
65824.42,14956.85,2.0,1.9,34,0
63375.17,38364.22,4.0,2.7,44,0
,40918.45,5.0,2.8,43,0
28386.35,25581.82,9.0,1.5,69,1
62340.73,25168.96,,5.1,61,0
62311.5,38036.89,2.0,4.5,38,0
86440.0,35752.61,9.0,2.4,50,0
45654.0,11135.23,8.0,8.5,35,0
62174.72,17246.29,4.0,0.0,67,1
50491.23,20220.16,,5.0,49,0
20391.72,22883.58,0.0,6.6,51,0
10000.0,25005.3,6.0,1.2,32,1
62930.29,23780.1,6.0,6.3,30,0
55218.42,36442.18,4.0,0.6,63,0
31454.75,35650.98,4.0,9.4,48,0
10000.0,15440.71,,6.0,37,0
68892.19,14778.44,8.0,7.3,45,0
42022.4,30651.34,7.0,2.4,60,1
66706.24,46397.22,6.0,9.7,19,0
105921.46,31669.93,,5.8,26,0
10000.0,33781.09,2.0,1.2,54,1
29011.98,14885.33,6.0,1.4,26,1
43718.73,22280.92,4.0,6.2,68,0
93644.79,46171.36,7.0,5.3,35,0
10000.0,14397.01,9.0,7.8,23,1
108075.83,22893.25,1.0,,67,0
54075.68,32736.16,,6.5,24,1
47119.98,11794.9,,7.5,41,0
44058.21,33130.13,9.0,7.6,23,0
36912.11,30196.01,9.0,0.1,62,1
81443.5,46095.51,,4.7,61,0
17944.38,9722.57,6.0,7.1,44,0
60362.43,18370.39,4.0,8.1,62,0
38474.55,22613.13,,5.5,18,0
27136.0,16216.39,,6.8,25,0
127579.26,26515.85,5.0,7.2,48,0
62571.52,24636.37,6.0,3.2,35,0
68397.97,29143.18,5.0,8.3,39,0
84133.3,36924.06,5.0,0.4,58,0
10000.0,19055.6,1.0,,21,1
102568.76,33432.46,9.0,7.2,29,1
10000.0,32739.45,8.0,7.3,53,1
26937.01,16932.42,4.0,0.0,27,0
36229.05,15968.5,5.0,6.0,27,0
67451.7,26459.59,2.0,10.6,56,0
56561.55,32013.49,7.0,0.0,18,1
44995.56,19270.08,8.0,0.0,42,1
49640.08,30243.35,,4.4,52,0
20659.31,24570.81,7.0,5.6,31,0
10000.0,10516.57,5.0,6.9,57,0
71795.35,24594.81,2.0,7.7,57,0
70811.18,47961.18,,0.0,47,1
97534.83,35730.03,4.0,4.0,59,0
26299.49,6259.9,,3.5,26,0
70784.46,21786.08,5.0,4.4,41,0
41488.8,29319.46,3.0,0.9,64,1
85714.25,31651.57,1.0,4.4,46,0
80658.88,31131.41,0.0,1.8,60,0
56336.28,33370.08,9.0,3.6,65,1
39814.1,14957.92,8.0,5.5,27,1
78827.97,32279.63,8.0,0.0,23,1
69407.14,27050.12,4.0,,34,0
29466.79,23171.77,5.0,5.8,21,0
10166.04,13390.31,5.0,6.7,62,1
41344.01,20012.38,9.0,5.1,46,1
95462.41,38695.87,9.0,4.3,59,0
84394.61,22598.82,2.0,9.4,57,0
16630.18,12432.67,2.0,8.5,48,0
14967.28,33913.41,8.0,3.3,42,1
88240.52,37862.96,7.0,5.9,65,0
15930.92,26938.57,1.0,5.6,57,0
65278.86,28552.78,1.0,2.2,52,0
,22784.22,,1.3,65,1
98511.35,26509.97,0.0,6.3,43,0
26887.26,23039.5,8.0,6.5,41,0
84300.85,34544.01,8.0,4.0,45,0
55545.76,34531.75,7.0,6.1,40,0
57565.85,23852.91,1.0,3.7,65,0
10000.0,16855.38,3.0,4.7,29,1
10000.0,43653.81,3.0,3.2,26,1
43383.02,24063.65,4.0,7.6,50,0
57407.18,18189.31,3.0,6.2,29,0
,23555.8,2.0,6.2,56,0
17339.2,20017.76,6.0,6.6,44,0
66844.18,19607.41,5.0,,21,0
66885.63,32562.66,7.0,3.6,51,0
45867.77,34327.88,9.0,8.7,65,0
73406.05,23010.06,3.0,6.0,22,0
14773.93,30575.17,9.0,6.8,47,1
,16443.13,8.0,1.0,29,1
99436.33,26703.27,0.0,3.3,51,0
52049.66,26737.83,3.0,9.1,64,0
53789.38,33083.68,6.0,6.4,68,0
119178.4,47274.17,0.0,7.1,18,0
10000.0,20152.45,5.0,2.0,20,1
73892.91,18445.4,6.0,3.1,61,0
99919.59,26124.78,3.0,2.6,45,0
40254.26,19702.64,9.0,6.0,39,0
75788.92,35601.75,,6.4,46,0
20539.42,15184.51,1.0,2.1,35,0
29398.03,30731.6,4.0,5.5,52,0
61548.99,46283.63,7.0,2.7,49,1
73957.0,20442.35,3.0,,24,1
83628.1,32229.46,6.0,5.1,50,0
97088.86,40255.14,4.0,3.7,50,0
47976.6,32932.31,0.0,4.2,69,1
85808.35,34367.8,,6.0,19,1
39730.85,21812.19,1.0,3.9,23,0
77062.74,16412.55,1.0,6.7,35,0
56224.66,22217.66,,5.5,21,0
63370.34,33759.01,6.0,7.5,35,0
62705.24,41043.57,3.0,7.9,58,0
10000.0,5787.55,3.0,7.7,39,0
,30851.73,9.0,3.5,58,1
53076.24,35661.78,9.0,3.8,25,1
10000.0,18904.6,,8.9,33,0
74936.33,22122.64,8.0,6.5,24,0
76146.68,44217.17,8.0,7.8,41,0
59815.12,26069.63,6.0,9.5,55,0
16365.98,23020.49,6.0,3.7,31,1
91404.17,25200.43,8.0,7.2,64,1
111116.32,23223.26,7.0,9.3,66,0
54412.3,32608.7,2.0,5.9,51,0
65316.06,31992.56,,10.2,25,0
56052.16,30807.46,7.0,7.0,22,0
65911.08,17480.56,3.0,1.3,65,0
46413.24,32128.21,8.0,5.5,60,1
48963.07,32046.16,7.0,3.1,35,1
77171.53,55295.01,0.0,3.9,34,0
120368.72,36463.61,3.0,5.2,26,0
10000.0,3000.0,3.0,4.9,54,0
46885.63,19995.01,9.0,8.3,51,0
14586.19,13984.9,6.0,1.6,28,1
97760.75,35677.94,8.0,6.3,45,0
32367.86,28168.37,8.0,6.3,63,0
10000.0,11509.25,8.0,1.0,40,0
69145.61,39406.07,6.0,6.4,58,0
102329.33,35499.71,4.0,6.3,47,0
69907.94,14981.59,6.0,8.0,43,0
56143.94,25778.36,1.0,0.0,47,0
62274.23,21216.56,2.0,0.7,43,0
,34814.2,4.0,6.3,65,0
23774.02,30220.47,9.0,6.4,45,0
46644.59,12608.96,1.0,5.7,27,0
36419.3,20625.8,8.0,5.9,42,1
14964.04,34372.73,7.0,0.0,67,1
40148.74,19158.14,0.0,2.8,61,0
83231.63,25262.67,3.0,9.7,56,0
66998.06,47076.26,8.0,6.4,34,1
69329.32,33871.26,,2.0,52,0
54394.27,40110.09,6.0,3.7,56,0
65699.71,21344.05,3.0,6.4,59,0
25982.29,15957.86,6.0,,25,1
40714.7,13176.83,,5.7,40,0
55760.13,31281.94,4.0,11.8,26,0
58325.48,19794.81,6.0,3.9,57,0
59605.64,17969.67,8.0,5.1,56,0
45849.94,25544.78,0.0,5.9,41,0
38677.3,26161.19,4.0,4.5,62,0
144733.14,43247.44,7.0,,57,0
77203.62,31611.95,3.0,4.7,65,0
62394.42,43029.74,0.0,4.3,20,0
43003.75,33998.44,,8.1,61,0
36463.44,21825.98,8.0,2.8,18,1
46075.98,30565.85,,9.3,26,1
58784.87,35408.63,8.0,2.1,67,1
10000.0,20272.87,,7.9,24,0
,9409.14,5.0,0.0,30,1
30893.53,7178.71,5.0,,69,0
56214.18,44484.63,1.0,2.2,61,0
42821.81,23947.77,3.0,2.9,38,1
94343.64,38628.12,0.0,4.8,36,0
10000.0,8206.69,,4.5,50,0
27459.64,18193.83,9.0,4.1,22,1
95602.75,26170.84,7.0,0.0,29,1
53933.58,15766.66,9.0,1.1,54,1
76545.28,33612.51,9.0,12.2,18,0
111537.41,40656.33,3.0,5.9,30,0
29185.87,22073.87,1.0,,42,0
47020.57,25405.74,8.0,2.6,55,1
41827.19,28689.23,6.0,,27,1
10000.0,3000.0,5.0,3.1,59,1
40688.1,31050.56,7.0,1.5,59,1
76431.87,52918.18,4.0,6.0,52,1
,14243.54,,4.5,28,1
68572.5,14714.5,4.0,,20,0
38734.73,8746.95,0.0,5.5,40,0
30317.08,30966.01,0.0,7.6,19,0
88077.67,20825.92,9.0,5.6,41,0
,23966.96,6.0,6.3,43,0
58822.46,31709.8,8.0,5.8,46,0
54900.04,24210.43,7.0,9.2,47,0
93851.51,28984.41,9.0,8.9,29,0
79142.37,27597.11,4.0,4.6,22,0
11142.24,4201.42,2.0,0.5,48,0
14373.4,25979.05,5.0,7.5,24,0
,39448.67,5.0,,20,1
48069.87,26658.63,0.0,0.0,51,0
36344.85,13684.09,4.0,4.5,47,0
80468.84,30505.18,0.0,8.8,53,0
55623.78,24108.29,8.0,2.9,69,1
51573.72,19348.14,8.0,5.7,37,1
73394.86,29910.19,1.0,4.7,54,0
38746.73,19890.63,2.0,0.0,46,0
97055.57,45761.2,9.0,5.1,36,1
26358.57,11164.41,,9.4,46,0
69707.87,26737.99,0.0,6.7,45,0
93014.99,24929.54,,2.9,20,1
10000.0,16475.36,6.0,3.7,62,0
39699.94,25498.65,5.0,3.8,24,1
84266.22,29191.66,4.0,7.7,41,0
84717.34,40713.84,3.0,,32,1
44855.13,40615.59,9.0,0.0,33,1
27959.87,6591.97,9.0,6.8,53,0
78678.07,39622.04,3.0,1.5,57,1
85506.47,31629.42,4.0,1.9,39,1
15060.1,17900.54,1.0,4.8,56,0
13882.59,15110.06,,1.6,60,1
56757.7,32435.16,6.0,3.5,57,0
68880.82,29404.05,3.0,4.1,66,0
41027.93,31241.57,5.0,1.9,51,0
70378.81,29222.61,3.0,4.7,28,0
28695.9,26152.02,1.0,3.1,21,0
10000.0,24787.79,1.0,,25,1
37282.97,21180.79,5.0,2.1,30,1
51896.96,33036.89,,2.0,59,0
41724.8,28262.16,2.0,9.0,26,0
15241.9,19906.21,5.0,4.9,28,1
10000.0,10042.13,4.0,4.5,66,0
34577.34,13492.44,8.0,6.6,47,0
76929.67,34239.29,0.0,3.5,49,0
87685.92,38936.17,0.0,4.3,21,0
85631.4,28856.85,4.0,7.4,54,0
25522.71,27313.5,6.0,3.0,20,1
15388.81,11082.72,0.0,5.9,27,0
64899.04,26776.85,,2.6,45,0
69053.0,23008.88,2.0,7.9,22,0
62005.09,20872.8,3.0,,43,0
10000.0,8914.09,7.0,0.0,60,1
23993.46,54081.88,8.0,7.7,30,1
49109.34,36075.41,2.0,5.5,34,0
64616.55,32765.79,5.0,12.9,20,0
73019.22,25641.22,,1.3,36,0
54327.61,14637.48,8.0,5.3,58,0
59923.51,12984.7,1.0,,57,0
52545.96,23895.34,6.0,2.2,51,0
70568.58,38301.98,0.0,5.1,38,0
59385.97,16367.96,6.0,7.9,37,0
51972.13,31055.88,0.0,1.5,55,0
41948.94,25316.53,8.0,5.8,57,0
52438.74,26940.79,8.0,5.3,35,0
,54431.15,2.0,0.8,18,0
58024.26,29348.69,0.0,5.1,68,0
61424.79,29463.28,9.0,12.8,39,0
90281.66,27234.29,1.0,3.8,45,0
57954.92,19996.43,8.0,2.5,22,1
30530.04,10086.03,4.0,3.0,63,0
76508.2,17148.3,3.0,6.0,19,0
10000.0,14571.36,8.0,3.2,55,0
17557.6,23701.67,3.0,6.9,52,0
60075.42,13015.08,1.0,3.2,32,0
65491.9,26732.68,5.0,2.8,18,1
12648.46,9610.22,3.0,9.3,52,0
38515.48,30478.11,6.0,0.3,38,1
31817.49,17434.63,9.0,5.3,34,0
35399.71,30446.55,,7.3,50,0
78307.93,24770.37,9.0,3.9,41,1
71195.16,33974.13,,3.8,64,0
49426.33,24888.13,3.0,7.3,54,0
33621.14,26502.65,6.0,6.0,23,0
,27075.98,,11.6,54,0
92605.55,52106.69,,0.6,58,1
67763.42,29761.93,5.0,3.8,37,0
28799.93,20471.45,5.0,3.0,45,0
71587.98,43572.38,5.0,5.2,26,0
47893.29,17794.62,,9.7,57,0
41386.71,28025.78,2.0,3.7,49,0
63056.35,21727.44,7.0,4.6,22,1
,19145.94,,0.3,37,0
39687.3,15713.31,6.0,8.1,68,0
53643.83,32397.24,2.0,0.1,44,0
,19739.49,8.0,3.6,54,0
70072.56,16833.9,9.0,0.0,39,1
106072.0,23669.79,,,34,0
27371.06,21782.04,,7.9,66,0
10000.0,27760.42,5.0,0.4,58,1
,3000.0,7.0,5.4,20,1
45485.96,21380.45,9.0,5.6,36,1
30105.06,14946.72,8.0,4.9,63,1
56235.82,35153.61,,6.0,41,0
53977.93,16165.06,5.0,3.3,37,0
,16769.41,3.0,4.4,30,1
10000.0,4310.93,7.0,2.0,46,0
58878.0,38739.74,5.0,6.6,47,0
54062.87,16512.57,8.0,7.3,30,0
37225.46,34064.2,9.0,6.9,45,1
10000.0,17549.36,5.0,4.3,26,1
64141.74,18878.08,7.0,5.3,39,0
88156.99,38715.38,4.0,5.3,33,0
58339.47,34213.74,,3.2,22,0
24575.78,36981.3,1.0,3.9,40,1
51336.56,30880.94,7.0,4.2,50,0
10000.0,23589.84,1.0,2.6,18,1
81738.82,39797.07,0.0,8.0,36,0
52455.33,11491.07,2.0,6.8,50,0
10000.0,20849.71,,4.1,69,1
40979.77,33273.48,3.0,5.0,53,0
63899.05,30084.34,0.0,3.7,25,0
40008.57,17921.44,1.0,,63,0
41723.13,16307.69,9.0,5.7,51,0
13267.93,17221.81,5.0,4.5,30,1
66996.23,27065.68,5.0,,59,0
30545.92,23180.09,6.0,7.5,68,1
10000.0,17030.86,4.0,3.2,23,1
38862.28,29090.75,1.0,3.7,36,0
79434.49,17791.78,1.0,7.8,53,0
38392.12,30684.3,3.0,7.6,30,0
102139.55,48108.75,0.0,5.8,65,0
62869.04,13573.81,9.0,11.1,40,0
60162.74,22657.67,9.0,9.1,53,0
46148.05,32679.31,1.0,10.0,39,0
47951.41,28798.51,,1.8,21,0
42097.29,11915.76,0.0,1.1,30,0
40931.92,29123.84,7.0,8.2,44,0
65926.01,14185.2,3.0,0.7,26,0
21925.06,24408.36,9.0,0.5,19,1
17723.19,32014.46,3.0,6.6,26,1
16304.15,17990.39,1.0,6.0,51,0
111369.64,45325.2,2.0,7.1,50,1
65910.29,31513.65,0.0,5.7,24,0
59134.77,19323.62,7.0,0.5,18,0
18274.56,12995.9,,5.5,27,0
68700.27,25633.84,3.0,9.7,27,0
46502.86,21829.06,3.0,,52,1
56425.07,37940.37,3.0,8.2,32,0
20701.39,34034.33,7.0,6.5,41,1
54808.07,34628.7,0.0,6.7,59,0
37284.99,37232.7,1.0,4.5,42,0
27031.67,23181.96,0.0,8.9,54,0
72023.19,15404.64,3.0,4.1,57,0
10000.0,17036.63,,5.6,61,0
66943.29,20641.92,4.0,6.6,56,0
70534.58,35820.2,,9.2,32,0
23610.69,18303.6,8.0,6.9,26,0
25390.15,23210.84,5.0,2.0,18,1
43309.23,24170.7,,2.1,64,1
58461.09,21186.29,6.0,6.3,46,0
45414.35,15688.08,0.0,7.1,43,0
63006.87,22722.7,6.0,6.4,56,0
102889.39,39963.37,1.0,7.5,64,0
34768.5,35703.87,0.0,6.8,54,0
10000.0,21380.93,6.0,3.4,65,1
74777.71,55446.07,8.0,4.5,33,1
100499.44,41460.31,3.0,5.6,39,0
61783.05,29542.78,0.0,0.6,26,0
17367.54,29863.71,1.0,7.9,52,0
46283.23,10256.65,1.0,0.0,35,0
16444.3,11854.16,,2.3,33,0
69285.66,34999.77,,7.6,64,0
10000.0,9761.11,1.0,4.3,48,0
40996.14,37530.15,2.0,9.6,61,0
19869.87,14059.6,,2.5,37,0
53804.74,33946.71,3.0,7.7,60,0
39009.75,23874.94,5.0,5.7,67,1
55302.86,45532.95,4.0,7.5,23,0
50670.52,32521.67,9.0,5.2,46,0
20400.23,24979.83,6.0,13.7,58,0
68806.31,25198.58,9.0,4.1,34,1
48537.03,19023.69,2.0,6.5,41,0
20344.13,19775.79,3.0,6.8,64,0
117227.8,44045.82,6.0,5.9,30,0
64292.91,31253.8,,7.1,36,0
45402.18,10080.44,1.0,3.5,58,0
92456.14,30128.04,2.0,6.4,36,0
105254.47,39300.33,7.0,8.3,36,0
45639.52,14511.86,1.0,8.4,23,0
60421.92,31154.63,0.0,5.8,60,0
20359.92,14675.42,5.0,8.4,61,0
45584.22,30031.9,7.0,3.1,59,1
44028.12,21593.68,2.0,9.6,18,0
55544.81,26591.61,1.0,8.6,30,0
59982.81,28749.23,0.0,4.8,27,0
66794.85,33639.65,6.0,5.3,34,0
,34958.99,,4.7,42,0
13677.72,5886.16,3.0,6.1,19,0
21845.99,19187.25,5.0,6.0,40,1
33607.77,23123.3,9.0,2.0,20,1
41532.78,54504.5,6.0,,27,1
81523.23,40318.3,6.0,3.8,63,1
15111.83,19242.67,0.0,3.3,64,0
,10542.47,6.0,6.1,48,0
78590.28,28891.69,9.0,3.5,37,1
41003.68,46312.65,9.0,6.2,32,1
63812.47,13762.49,0.0,9.2,62,0
45813.74,22072.82,0.0,,39,0
57703.5,39746.89,2.0,6.8,64,0
43145.82,45824.77,,9.3,40,0
70011.96,27074.21,8.0,6.1,19,0
10000.0,23229.79,8.0,2.6,68,1
39100.64,32666.65,1.0,8.0,46,0
58897.18,33760.08,,3.6,48,1
66010.86,31338.39,1.0,9.0,37,0
94788.58,47942.2,6.0,9.6,23,0
38269.26,34736.94,4.0,6.8,62,0
94384.45,38869.8,7.0,4.3,51,0
30229.29,38498.18,0.0,8.9,39,0
89859.39,34869.15,2.0,12.0,58,0
74524.01,32236.86,8.0,1.7,25,1
22596.24,17499.67,1.0,5.3,34,0
59211.18,12842.24,,4.5,49,0
48462.92,27289.56,4.0,3.0,53,1
68767.54,30753.78,0.0,6.7,39,0
43301.85,12049.21,,9.2,27,0
40782.61,16491.68,9.0,4.3,35,1
91072.84,43491.95,2.0,6.2,68,0
47038.37,11196.15,1.0,5.5,64,0
74792.67,29813.41,4.0,4.8,48,0
43239.46,32350.14,8.0,2.4,21,1
99999.9,24074.63,9.0,,19,1
29649.96,21881.92,7.0,5.6,28,0
31575.69,25263.25,,,18,1
95735.52,42932.09,8.0,2.5,28,0
36651.61,25362.92,8.0,,28,0
98032.23,39307.79,,8.6,50,0
76755.22,25580.55,6.0,8.1,38,0
45360.51,28369.8,1.0,9.4,59,0
10000.0,24958.84,9.0,5.5,36,1
49420.45,11034.73,0.0,8.5,23,0
53048.9,30237.02,3.0,1.9,52,0
85016.53,59584.19,7.0,4.0,33,0
97653.42,29179.93,9.0,5.5,49,1
29450.38,22567.19,0.0,4.9,67,0
74035.45,22231.11,6.0,5.6,32,0
72962.06,42012.28,,0.6,35,1
82202.38,36489.06,2.0,3.3,52,0
64960.7,27267.68,6.0,,58,0
10000.0,25082.33,5.0,12.6,48,0
45337.33,33554.17,0.0,4.4,23,0
15328.77,6408.49,9.0,5.6,40,0
,28374.62,7.0,8.8,64,0
79400.13,34463.0,5.0,1.4,50,1
59154.53,26947.85,,9.5,37,0
84442.73,31982.84,5.0,3.4,45,0
60252.62,35165.77,6.0,3.6,61,0
11050.22,3210.04,0.0,,28,0
10000.0,12097.07,0.0,,45,0
54464.26,27095.05,5.0,6.3,54,0
43582.21,18464.32,9.0,8.4,38,0
20691.63,18334.25,6.0,1.4,50,1
10000.0,13676.21,1.0,4.1,26,0
27957.7,31161.87,8.0,1.9,59,1
44165.26,23902.92,7.0,2.3,47,1
69976.33,46353.97,6.0,7.5,48,0
55658.93,26197.42,4.0,2.6,69,1
98242.02,45656.04,3.0,4.5,68,0
,24448.88,0.0,5.8,26,0
76431.77,44725.79,1.0,3.5,68,0
51418.96,22155.45,3.0,6.7,68,1
70840.07,31420.0,4.0,6.0,40,0
36904.55,9381.98,9.0,9.3,28,0
82150.41,17430.08,1.0,0.0,18,1
58856.74,35420.0,7.0,7.0,24,1
29616.65,13648.03,0.0,3.1,27,0
49639.28,34989.78,3.0,3.7,37,0
42813.32,23209.62,0.0,6.5,66,0
64675.35,37021.84,7.0,4.1,66,0
14606.7,26024.39,9.0,7.5,68,1
49119.45,10823.89,,7.3,69,0
61859.22,24502.12,3.0,6.7,60,0
50990.7,14766.43,1.0,1.9,57,0
90408.24,19081.65,8.0,3.1,39,1
73220.68,22906.3,9.0,2.7,40,1
49775.58,10955.12,,10.4,31,0
56500.67,25952.03,6.0,2.3,43,0
58869.97,19208.07,2.0,3.6,69,0
62098.99,32502.76,7.0,2.8,30,0
10000.0,17891.17,6.0,13.1,37,0
40954.21,32316.5,4.0,9.5,27,0
10000.0,25598.12,8.0,3.1,49,1
88348.43,41076.03,8.0,4.6,51,0
48174.51,27711.49,1.0,2.9,64,0
44199.77,20405.12,5.0,7.0,51,0
76903.92,25470.67,,1.3,47,0
62669.74,20672.27,9.0,5.4,49,0
16140.96,16239.68,3.0,5.4,59,0
47872.84,33367.58,9.0,4.9,59,1
39944.99,32675.17,0.0,3.1,19,0
10000.0,3000.0,4.0,0.5,63,1
29291.71,22795.24,,,65,0
44493.79,24566.0,,0.0,52,1
46551.47,13787.08,,8.8,44,0
10000.0,24599.94,7.0,3.5,25,1
84549.97,51175.4,,2.3,57,0
46936.91,20039.81,9.0,5.5,24,1
51126.59,24863.39,9.0,10.0,60,0
62019.25,32670.58,4.0,12.2,54,0
26357.71,45066.31,5.0,6.1,38,0
63690.68,36701.88,3.0,7.2,36,0
38987.76,16233.13,7.0,8.6,54,0
23102.43,11980.06,6.0,3.5,27,0
67203.42,28460.26,7.0,7.8,26,1
94750.22,33197.54,7.0,9.7,42,0
71744.88,37046.65,2.0,2.4,32,0
77689.33,30550.59,,,34,1
34381.08,24048.4,8.0,4.6,44,0
10000.0,9459.27,8.0,2.7,68,1
94704.13,32500.28,,3.7,25,0
111635.45,42242.31,0.0,2.5,53,0
96284.2,56043.16,,3.3,69,0
39926.42,22611.39,4.0,10.7,44,0
15360.97,20834.15,1.0,,34,1
18029.52,13652.13,7.0,8.2,43,0
,9219.75,4.0,10.9,25,0
46778.64,29478.83,8.0,3.6,37,1
98170.34,39399.9,5.0,8.1,20,0
45750.12,11054.45,2.0,3.3,51,0
59069.69,13184.38,6.0,8.3,53,0
91267.91,42811.08,0.0,5.1,37,0
37877.14,14892.34,1.0,8.3,55,0
111065.94,38633.65,9.0,4.6,68,1
,39868.96,9.0,14.6,26,0
,25877.66,2.0,6.5,31,0
32673.97,19059.28,9.0,4.6,52,1
70917.14,35608.89,6.0,4.1,23,1
39574.25,34838.09,9.0,5.2,45,0
15303.34,18052.23,2.0,,42,0
88437.16,18785.36,2.0,0.3,19,1
86493.42,20982.47,9.0,7.8,37,0
54665.35,40091.28,,5.8,28,0
12114.06,9601.23,8.0,0.0,54,1
13114.21,27125.79,0.0,3.7,47,0
53216.88,12222.06,,2.6,48,0
35003.87,9449.23,4.0,5.4,62,0
,27298.66,3.0,9.0,27,0
80658.89,23913.42,9.0,0.0,22,1
71995.38,42612.04,9.0,13.9,64,0
91344.28,33034.93,6.0,4.3,57,1
20281.3,10074.15,8.0,6.0,61,1
39704.25,10381.3,8.0,4.0,20,0
72769.45,48200.98,2.0,1.6,34,0
63442.35,25760.82,8.0,5.6,20,0
95971.41,33292.69,7.0,3.0,64,0
62616.1,25335.94,5.0,9.8,39,0
,38226.09,1.0,2.7,38,0
66200.53,30513.1,4.0,6.2,57,0
81865.02,31686.24,9.0,1.0,26,1
40294.55,9058.91,2.0,2.8,31,0
,32447.15,9.0,4.7,33,1
77328.33,27914.43,1.0,9.6,37,0
98389.35,45256.94,2.0,5.6,52,0
71877.11,45791.96,0.0,,22,0
47504.85,24356.15,,2.1,56,0
91320.05,35043.87,1.0,8.4,61,0
10000.0,13773.19,2.0,0.5,45,0
10000.0,3835.47,7.0,4.4,28,0
70449.03,43486.36,7.0,8.0,53,0
50423.25,21167.98,9.0,2.6,41,1
68165.41,30777.77,,4.2,57,0
51932.23,11386.45,5.0,8.3,52,0
67128.37,17425.0,9.0,0.4,29,0
25567.92,6113.58,0.0,0.3,49,0
67114.58,29878.36,,7.5,66,0
79832.44,21914.09,8.0,,28,0
86616.52,27601.43,9.0,,65,1
110406.63,38482.54,6.0,0.1,38,1
57322.95,12464.59,8.0,2.3,65,0
58217.33,21135.81,3.0,6.2,42,0
10000.0,19319.57,5.0,7.6,69,1
34057.66,23104.55,,8.4,69,1
44207.54,9841.51,7.0,2.1,44,1
81509.59,35567.87,3.0,10.9,27,0
31669.97,9973.05,2.0,6.2,64,0
73890.2,31659.69,8.0,2.4,45,1
49951.35,27034.37,0.0,3.9,35,0
44684.96,37663.13,8.0,5.1,63,1
57466.82,26468.44,,0.0,48,0
38265.31,18051.19,7.0,3.7,45,0
37128.88,12200.43,0.0,2.3,37,0
10000.0,20562.37,,6.7,35,1
42561.37,9512.27,4.0,3.3,45,0
35600.96,14498.16,3.0,6.2,43,0
34520.57,7904.11,7.0,6.4,57,0
62506.19,13501.24,,6.6,36,0
69758.96,38268.4,8.0,0.7,21,1
56965.84,17674.06,,9.2,51,0
